
[TioConverter - 56e690f563e94][Mar 31 2016 06:22:45 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:418 -- /cfl-smackdown-64-melee?get?tioevent=cfl-smackdown-64-melee&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e690f672b2b][Mar 31 2016 06:22:46 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:418 -- /cfl-smackdown-64-melee?get?tioevent=cfl-smackdown-64-melee&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e691a009074][Mar 31 2016 06:25:36 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:425 -- /cfl-smackdown-64-melee?get?tioevent=cfl-smackdown-64-melee&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e691c5922ce][Mar 31 2016 06:26:13 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:425 -- /cfl-smackdown-64-melee?get?tioevent=cfl-smackdown-64-melee&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e691cb7980c][Mar 31 2016 06:26:19 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:425 -- /cfl-smackdown-64-melee?get?tioevent=cfl-smackdown-64-melee&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e691e06c208][Mar 31 2016 06:26:40 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:426 -- /cfl-smackdown-64-melee?get?tioevent=cfl-smackdown-64-melee&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e691e158f5a][Mar 31 2016 06:26:41 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:426 -- /cfl-smackdown-64-melee?get?tioevent=cfl-smackdown-64-melee&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e6922cd7c0b][Mar 31 2016 06:27:56 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:426 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e6923c5bbce][Mar 31 2016 06:28:12 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:426 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e6924516e96][Mar 31 2016 06:28:21 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:426 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e6934f49710][Mar 31 2016 06:32:47 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:431 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e69356c8b7b][Mar 31 2016 06:32:54 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:431 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e6935950550][Mar 31 2016 06:32:57 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:431 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e693d38bd60][Mar 31 2016 06:34:59 -0400] /home/polarity/public_html/TioConverter2/archive/72924776-9268-49f8-a178-24aee5c57dce/72924776-9268-49f8-a178-24aee5c57dce.tio.tio tried to be set but the file was missing -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:425 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e693e16002f][Mar 31 2016 06:35:13 -0400] No active file set -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:433 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e693f4bad9f][Mar 31 2016 06:35:32 -0400] /home/polarity/public_html/TioConverter2/archive/72924776-9268-49f8-a178-24aee5c57dce/72924776-9268-49f8-a178-24aee5c57dce.tio.tio tried to be set but the file was missing -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:425 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e6940997a45][Mar 31 2016 06:35:53 -0400] /home/polarity/public_html/TioConverter2/archive/72924776-9268-49f8-a178-24aee5c57dce/72924776-9268-49f8-a178-24aee5c57dce.tio.tio tried to be set but the file was missing -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:425 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e69814f0cc8][Mar 31 2016 06:53:08 -0400] /home/polarity/public_html/TioConverter2/archive/72924776-9268-49f8-a178-24aee5c57dce/72924776-9268-49f8-a178-24aee5c57dce.tio.tio tried to be set but the file was missing -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:425 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e698273efbb][Mar 31 2016 06:53:27 -0400] /home/polarity/public_html/TioConverter2/archive/72924776-9268-49f8-a178-24aee5c57dce/72924776-9268-49f8-a178-24aee5c57dce.tio tried to be set but the file was missing -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:425 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e69c2f6a7ab][Mar 31 2016 07:10:39 -0400] /home/polarity/public_html/TioConverter2/archive/72924776-9268-49f8-a178-24aee5c57dce/72924776-9268-49f8-a178-24aee5c57dce.tio tried to be set but the file was missing -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:425 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e69c90a1db1][Mar 31 2016 07:12:16 -0400] /home/polarity/public_html/TioConverter2/archive/72924776-9268-49f8-a178-24aee5c57dce/72924776-9268-49f8-a178-24aee5c57dce.tio is now active file -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:420 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
[TioConverter - 56e69c90a1db1][Mar 31 2016 07:12:16 -0400] File not found: /home/polarity/public_html/TioConverter2/archive//home/polarity/public_html/TioConverter2/archive/72924776-9268-49f8-a178-24aee5c57dce/72924776-9268-49f8-a178-24aee5c57dce.tio -- log() in /home/polarity/public_html/TioConverter2/main/tioconverter.class.php:439 -- /cfl-smackdown-february-monthly-smash-4?get?tioevent=cfl-smackdown-february-monthly-smash-4&tiogame=&tiomatch=&other=&get -- 67.23.232.183 -- Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0
